These are the probabilities of seeing so many leaders within a sequence of so
many slots, assuming a uniform distribution among 500 stake pools and the active
slot coefficient f=0.05. We conjecture that that stake distribution maximizes
the occurrence of slots with multiple leaders. There can be no more contemporary
forks than leaders.

approximate seconds in a year:	31536000 = 3.1536e7

        leaders (each pool counts as a leader at most once per slot)
      \
slots
		0			1			2			3			4			5			6			7
1	0.9499999999999862	4.873112920560149e-2	1.247354477760924e-3	2.124275517616499e-5	2.7078219644464086e-7	2.755780636612292e-9	2.3324452498666625e-11	1.688702835281361e-13
2	0.9024999999999738	9.258914549064148e-2	4.744696461398748e-3	1.6193121927661922e-4	4.140746260780349e-6	8.462151919054089e-8	1.439678482218369e-9	2.097329779931415e-11
3	0.8573749999999625	0.13193953232416222	1.0145172666448632e-2	5.197121463808663e-4	1.995434797539223e-5	6.12508325248829e-7	1.565722540144755e-8	3.428311114028665e-10
4	0.8145062499999527	0.16712340761060301	1.7136926975511668e-2	1.1709006327410504e-3	5.997233795367785e-5	2.4561471242808845e-6	8.378357600291006e-8	2.448493030197104e-9
5	0.7737809374999438	0.19845904653758822	2.5440171014390247e-2	2.173221891414553e-3	1.3917956909845558e-4	7.1279218530670015e-6	3.040850679190044e-7	1.111492071676174e-8
6	0.735091890624936	0.22624331305284728	3.480447501971068e-2	3.568275076924764e-3	2.7428240169621485e-4	1.68609722539031e-5	8.634576776224183e-7	3.7888523112616894e-8
7	0.698337296093679	0.2507530053002355	4.5006263550343074e-2	5.383743678861592e-3	4.8287295429426104e-4	3.4637550047289794e-5	2.0699314417145162e-6	1.0599702775520371e-7
8	0.6634204312889854	0.27224612004025167	5.584650162607385e-2	7.635375031236121e-3	7.827397617789706e-4	6.417793460740664e-5	4.383935290488201e-6	2.566179439328423e-7
9	0.630249409724527	0.2909630407930147	6.714855784178098e-2	1.0328749660781232e-2	1.1913065048581946e-3	1.0989873078226899e-4	8.44664006158757e-6	5.563292333912217e-7
10	0.598736939238292	0.3071276541704		7.875623190795618e-2	1.3460859511606462e-2	1.7251823851265969e-3	1.7684806240897454e-4	1.5104189075847594e-5	1.1055051674792377e-6
11	0.5688000922763691	0.32094839860806335	9.053193491270808e-2	1.7021512525767706e-2	2.3998094533396255e-3	2.706240224291351e-4	2.5427031244288124e-5	2.0473832087736267e-6
12	0.5403600876625428	0.3326192494665335	0.10235501139002362	2.0994579620181742e-2	3.229193770428426e-3	3.972817280440478e-4	4.072390294243325e-5	3.577510834769457e-6
13	0.5133420832794082	0.3423206442426358	0.11412019301749401	2.5359098771321163e-2	4.225708704948647e-3	5.632334423292816e-4	6.255027218374131e-5	5.953280059919053e-6
14	0.4876749791154307	0.3502203514174608	0.12573617445715207	3.0090249692281214e-2	5.399959959761561e-3	7.751454488183228e-4	9.271127107768558e-5	9.503268258146745e-6
15	0.46329123015965246	0.3564742862641959	0.1371243024985398	3.5160211454686736e-2	6.760703086467299e-3	1.039834690704264e-3	1.332593082089477e-4	1.4636123605097263e-5
16	0.44012666865166344	0.3612272767477133	0.14821737026647303	4.053891436359207e-2	8.314805299176452e-3	1.3641676005992987e-3	1.8648667848603217e-4	2.1848759445673647e-5
17	0.41812033521907416	0.3646137824672179	0.15895850881985235	4.619469643059118e-2	1.0067244349477325e-2	1.754963040395286e-3	2.5491358037311936e-4	3.173365200673237e-5
18	0.3972143184581147	0.36675856942290197	0.16930016899478903	5.209487390282002e-2	1.2021138080988196e-2	2.2189008348105655e-3	3.412720146539553e-4	4.498506837274598e-5
19	0.3773536025352035	0.36777734322684924	0.1792031868376157	5.820623448783986e-2	1.4177799052992416e-2	2.7624370086918528e-3	4.484860797047665e-4	6.240408511969453e-5
20	0.35848592240843813	0.3677773432268438	0.18863592643323443	6.449546116137299e-2	1.6536809315970822e-2	3.391726519866992e-3	5.796491997827055e-4	8.490229134588215e-5
